        X,         Y
 0.026756,  0.000000
 0.561873,  0.876254
 0.548495,  0.903010
 0.571906,  0.856187
 0.581940,  0.836120
 0.113712,  0.000000
 0.879599,  0.240803
 0.327759,  0.000000
 0.852843,  0.294314
 0.304348,  0.000000
 0.612040,  0.775920
 0.030100,  0.000000
 0.173913,  0.000000
 0.525084,  0.949833
 0.254181,  0.000000
 0.652174,  0.695652
 0.043478,  0.000000
 0.882943,  0.234114
 0.033445,  0.000000
 0.214047,  0.000000
 0.739130,  0.521739
 0.655518,  0.688963
 0.247492,  0.000000
 0.979933,  0.040134
 0.541806,  0.916388
 0.568562,  0.862876
 0.658863,  0.682274
 0.056856,  0.000000
 0.494983,  0.000000
 0.839465,  0.321070
 0.545151,  0.909699
 0.354515,  0.000000
 0.923077,  0.153846
 0.046823,  0.000000
 0.816054,  0.367893
 0.682274,  0.635452
 0.160535,  0.000000
 0.107023,  0.000000
 0.193980,  0.000000
 0.153846,  0.000000
 0.260870,  0.000000
 0.628763,  0.742475
 0.307692,  0.000000
 0.167224,  0.000000
 0.361204,  0.000000
 0.170569,  0.000000
 0.488294,  0.000000
 0.190635,  0.000000
 0.862876,  0.274247
 0.508361,  0.983278
 0.076923,  0.000000
 0.187291,  0.000000
 0.050167,  0.000000
 0.401338,  0.000000
 0.280936,  0.000000
 0.712375,  0.575251
 0.317726,  0.000000
 0.053512,  0.000000
 0.946488,  0.107023
 0.444816,  0.000000
 0.484950,  0.000000
 0.752508,  0.494983
 0.421405,  0.000000
 0.976589,  0.046823
 0.270903,  0.000000
 0.956522,  0.086957
 0.565217,  0.869565
 0.642140,  0.715719
 0.531773,  0.936455
 0.491639,  0.000000
 0.705686,  0.588629
 0.287625,  0.000000
 0.474916,  0.000000
 0.866221,  0.267559
 0.204013,  0.000000
 0.959866,  0.080268
 0.060201,  0.000000
 0.227425,  0.000000
 0.933110,  0.133779
 0.127090,  0.000000
 0.066890,  0.000000
 0.274247,  0.000000
 0.117057,  0.000000
 0.936455,  0.127090
 0.986622,  0.026756
 0.859532,  0.280936
 0.454849,  0.000000
 0.809365,  0.381271
 0.775920,  0.448161
 0.411371,  0.000000
 0.311037,  0.000000
 0.140468,  0.000000
 0.157191,  0.000000
 0.551839,  0.896321
 0.993311,  0.013378
 0.234114,  0.000000
 0.468227,  0.000000
 0.648829,  0.702341
 0.688963,  0.622074
 0.511706,  0.976589
